runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
kelheim;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
kelheim;1;18;492.89;1097;1097;636;454.5;72.22;83.33;397.33;1799.84;1697.19;890.22;2;1;0.05
kelheim;2;29;452.83;1088;1065;566.5;421;75.86;89.66;338.28;1606.96;1588.74;791.1;2;5;0.15
kelheim;3;43;331.84;1084;819.4;416;309;90.7;97.67;457.33;2049.63;1589.35;789.16;2;1;0.02
kelheim;4;63;433.87;1203;1055.8;576;378;76.19;93.65;534.9;2327.88;1663.04;968.78;2;4;0.06
kelheim;5;66;432.05;1150;1045;580.25;347.5;78.79;89.39;492.89;2155.55;1680;924.94;2;3;0.04
kelheim;6;63;400.4;1182;1010.2;538;327;79.37;93.65;467.05;2056.17;1592.43;867.44;2;2;0.03
kelheim;7;60;388.02;1172;899.6;484.25;329.5;81.67;95;427.58;1888.02;1537.88;815.6;2;3;0.05
kelheim;8;76;419.78;1185;982.3;555.25;337;77.63;92.11;447.82;1986.3;1581.47;867.59;2;5;0.06
kelheim;9;89;390;1020;901.5;572;337;77.53;95.51;476.01;2061.77;1535.65;866.01;2;6;0.06
kelheim;10;84;409.44;1190;1048.5;514.5;321.5;79.76;89.29;406.7;1799.09;1464.67;816.14;2;5;0.06
kelheim;11;97;403.09;1159;990;558;367;80.41;92.78;460.58;1975.8;1533.77;863.67;2;5;0.05
kelheim;12;89;438;1181;1121;553.5;365;79.78;92.13;422.31;1830.57;1474.26;860.31;2;6;0.06
kelheim;13;95;445.67;1190;1036.6;627;339;73.68;88.42;469.77;2047.63;1453.24;915.44;2;4;0.04
kelheim;14;90;476.72;1134;1025.8;733;395.5;67.78;84.44;469.33;2035.12;1445.81;946.06;2;6;0.06
kelheim;15;80;489.34;1182;1168.45;702;383;67.5;86.25;409.23;1815.15;1419.78;898.56;2;5;0.06
kelheim;16;78;393.4;1181;1037.6;522.5;328;79.49;91.03;397.19;1783.16;1561.03;790.59;2;6;0.07
kelheim;17;85;376.51;1148;973.7;462.5;314;83.53;94.12;422.53;1857.66;1401.63;799.04;2;4;0.04
kelheim;18;93;481.96;1188;994.5;645.5;458;66.67;92.47;433.41;1897.79;1458.55;915.37;2;4;0.04
kelheim;19;90;428.07;1129;1020.75;618.75;356;73.33;90;419.87;1836.93;1455.05;847.93;2;4;0.04
kelheim;20;103;437.96;1192;1082.6;626;369;74.76;90.29;429.28;1855.29;1395.12;867.24;2;3;0.03
kelheim;21;95;370.23;1056;984;478;329;86.32;92.63;416;1824.03;1476.6;786.23;2;2;0.02
kelheim;22;83;357.94;858;746;466;345;87.95;100;465.02;2004.62;1436.53;822.96;2;3;0.03
kelheim;23;90;404.86;1163;983.55;582.5;346.5;75.56;92.22;475.88;2082.97;1468.77;880.73;2;4;0.04
kelheim;24;90;381.66;1049;849.25;528;331.5;83.33;97.78;469.13;2061.75;1523.94;850.79;2;3;0.03
kelheim;25;81;338.38;1136;861.8;454;265;85.19;96.3;418.12;1884.25;1461.87;756.51;2;2;0.02
kelheim;26;78;397.83;1139;968.45;487.5;346;80.77;94.87;415.35;1809.11;1427.66;813.18;2;2;0.03
kelheim;27;82;447.6;1137;1088.65;652.75;370;70.73;87.8;375.2;1666.56;1393.61;822.79;2;2;0.02
kelheim;28;74;424.92;1118;1005.25;557;346;77.03;91.89;315.92;1425.22;1245.04;740.84;2;3;0.04
kelheim;29;75;468.21;1161;1146;666;417;72;90.67;431.39;1931.05;1465.43;899.6;2;3;0.04
kelheim;30;72;350.96;938;823.05;464.25;329;84.72;98.61;360.82;1647.41;1431.17;711.78;2;4;0.05
kelheim;31;71;361.32;1090;894.2;444;309;87.32;95.77;376.08;1678.87;1414.75;737.41;2;8;0.1
kelheim;32;68;285.69;742;686.95;348.25;262.5;94.12;100;368.24;1668.29;1359.82;653.93;2;0;0
kelheim;33;74;399.8;1175;1059;559.25;299;77.03;90.54;484.36;2160.26;1486.02;884.16;2;6;0.07
kelheim;34;63;485.22;1200;1127.6;675;387;73.02;87.3;399.54;1789.76;1420.82;884.76;2;5;0.07
kelheim;35;71;399.15;1131;1024;542;330;78.87;91.55;506;2223.09;1577.9;905.15;2;1;0.01
