depart,purpose,household_id
5.0,Home,878
5.0,Work,2
5.0,atwork,2
5.0,eatout,446
5.0,escort,2427
5.0,othdiscr,566
5.0,othmaint,594
5.0,school,208
5.0,shopping,636
5.0,social,139
5.0,univ,23
5.0,work,7956
6.0,Home,2435
6.0,Work,15
6.0,atwork,23
6.0,eatout,604
6.0,escort,2525
6.0,othdiscr,885
6.0,othmaint,804
6.0,school,2657
6.0,shopping,1035
6.0,social,267
6.0,univ,137
6.0,work,18113
7.0,Home,3894
7.0,Work,124
7.0,atwork,202
7.0,eatout,1316
7.0,escort,8156
7.0,othdiscr,1954
7.0,othmaint,2327
7.0,school,15873
7.0,shopping,1545
7.0,social,598
7.0,univ,719
7.0,work,33944
8.0,Home,6619
8.0,Work,577
8.0,atwork,1027
8.0,eatout,2490
8.0,escort,12655
8.0,othdiscr,3641
8.0,othmaint,4204
8.0,school,16648
8.0,shopping,4582
8.0,social,1156
8.0,univ,1372
8.0,work,25683
9.0,Home,4694
9.0,Work,594
9.0,atwork,948
9.0,eatout,1773
9.0,escort,3392
9.0,othdiscr,2882
9.0,othmaint,3734
9.0,school,2526
9.0,shopping,4818
9.0,social,1096
9.0,univ,342
9.0,work,11158
10.0,Home,10563
10.0,Work,4067
10.0,atwork,6214
10.0,eatout,2313
10.0,escort,3219
10.0,othdiscr,2851
10.0,othmaint,4038
10.0,school,962
10.0,shopping,6248
10.0,social,989
10.0,univ,196
10.0,work,4953
11.0,Home,11271
11.0,Work,3124
11.0,atwork,5690
11.0,eatout,2409
11.0,escort,3426
11.0,othdiscr,3033
11.0,othmaint,4024
11.0,school,912
11.0,shopping,6478
11.0,social,1286
11.0,univ,253
11.0,work,3471
12.0,Home,11940
12.0,Work,2323
12.0,atwork,7048
12.0,eatout,2663
12.0,escort,3502
12.0,othdiscr,3171
12.0,othmaint,3923
12.0,school,881
12.0,shopping,6751
12.0,social,1324
12.0,univ,338
12.0,work,3031
13.0,Home,18966
13.0,Work,9809
13.0,atwork,4656
13.0,eatout,2781
13.0,escort,3814
13.0,othdiscr,2558
13.0,othmaint,3423
13.0,school,471
13.0,shopping,6618
13.0,social,1359
13.0,univ,257
13.0,work,3317
14.0,Home,21154
14.0,Work,5625
14.0,atwork,2272
14.0,eatout,3145
14.0,escort,4531
14.0,othdiscr,3358
14.0,othmaint,3682
14.0,school,400
14.0,shopping,6776
14.0,social,1642
14.0,univ,341
14.0,work,2668
15.0,Home,32491
15.0,Work,1769
15.0,atwork,825
15.0,eatout,3585
15.0,escort,5680
15.0,othdiscr,4243
15.0,othmaint,4082
15.0,school,353
15.0,shopping,7585
15.0,social,2041
15.0,univ,527
15.0,work,2096
16.0,Home,32786
16.0,Work,857
16.0,atwork,502
16.0,eatout,3312
16.0,escort,3846
16.0,othdiscr,3398
16.0,othmaint,3805
16.0,school,478
16.0,shopping,7053
16.0,social,1701
16.0,univ,892
16.0,work,2473
17.0,Home,41496
17.0,Work,562
17.0,atwork,262
17.0,eatout,4429
17.0,escort,5286
17.0,othdiscr,4464
17.0,othmaint,4506
17.0,school,451
17.0,shopping,8090
17.0,social,2307
17.0,univ,1071
17.0,work,2734
18.0,Home,42238
18.0,Work,292
18.0,atwork,122
18.0,eatout,4499
18.0,escort,5147
18.0,othdiscr,5324
18.0,othmaint,4214
18.0,school,320
18.0,shopping,8038
18.0,social,2323
18.0,univ,1152
18.0,work,2120
19.0,Home,22072
19.0,Work,41
19.0,atwork,14
19.0,eatout,1840
19.0,escort,1711
19.0,othdiscr,1622
19.0,othmaint,1838
19.0,school,60
19.0,shopping,3666
19.0,social,915
19.0,univ,205
19.0,work,1120
20.0,Home,20743
20.0,Work,32
20.0,atwork,15
20.0,eatout,1673
20.0,escort,1455
20.0,othdiscr,1646
20.0,othmaint,1414
20.0,school,20
20.0,shopping,3160
20.0,social,964
20.0,univ,177
20.0,work,701
21.0,Home,21251
21.0,Work,11
21.0,atwork,5
21.0,eatout,1632
21.0,escort,1410
21.0,othdiscr,1576
21.0,othmaint,1250
21.0,school,25
21.0,shopping,2792
21.0,social,1006
21.0,univ,168
21.0,work,591
22.0,Home,7228
22.0,Work,1
22.0,atwork,1
22.0,eatout,311
22.0,escort,336
22.0,othdiscr,218
22.0,othmaint,305
22.0,school,1
22.0,shopping,610
22.0,social,160
22.0,univ,11
22.0,work,171
23.0,Home,6387
23.0,Work,3
23.0,eatout,294
23.0,escort,318
23.0,othdiscr,243
23.0,othmaint,292
23.0,school,2
23.0,shopping,557
23.0,social,153
23.0,univ,10
23.0,work,150
