tour_mode,trip_mode,trips
BIKE,BIKE,17
BIKE,WALK,1
DRIVEALONEFREE,DRIVEALONEFREE,3
DRIVEALONEFREE,TAXI,1
DRIVEALONEFREE,TNC_SHARED,1
DRIVEALONEFREE,WALK,22
SHARED2FREE,DRIVEALONEFREE,1
SHARED2FREE,SHARED2FREE,2
SHARED2FREE,WALK,3
SHARED3FREE,SHARED2FREE,1
SHARED3FREE,SHARED3FREE,1
SHARED3FREE,WALK,4
TAXI,TNC_SINGLE,1
TAXI,WALK,2
TAXI,WALK_LOC,12
TNC_SHARED,TNC_SHARED,2
TNC_SHARED,WALK_LOC,1
TNC_SINGLE,TNC_SHARED,1
TNC_SINGLE,TNC_SINGLE,2
TNC_SINGLE,WALK,8
TNC_SINGLE,WALK_HVY,1
TNC_SINGLE,WALK_LOC,17
TNC_SINGLE,WALK_LRF,9
WALK,TAXI,1
WALK,TNC_SINGLE,1
WALK,WALK,209
WALK_HVY,WALK,4
WALK_HVY,WALK_HVY,3
WALK_HVY,WALK_LOC,1
WALK_HVY,WALK_LRF,6
WALK_LOC,SHARED2FREE,1
WALK_LOC,WALK,25
WALK_LOC,WALK_LOC,38
WALK_LRF,WALK,26
WALK_LRF,WALK_LOC,16
WALK_LRF,WALK_LRF,38
