link;volume
-1000263976;0
-1000853757;1749
-1001385447;88
-1001519321;8
-1001677580;167
-1001767926;179
-1001771483;22
-1001771484;15
-1001771485;7
-1001771486;2
-1001771487;8
-1001771488;4
-1001771489;32
-1001836790#0;16
-1001836790#1;32
-100192614#0;5
-100192614#1;4
-100237276;10
-100237281;8
-100239705;7
-100239707;4
-100239709;19
-100239710#0;43
-100239710#1;57
-100239711;4
-100239712;14
-1002771661#1;1208
-1003281442;3
-1003620723;186
-1003620724;225
-1003957623;97
-1003957624;788
-1003957625;789
-1004046622;123
-1004046623;48
-100440662;40
-100440668;167
-100440670;31
-100440674;101
-100487562#0;22
-1004934998;18
-1005185061#0;249
-1005185061#1;290
-10056277;37
-10057079#0;24
-10057079#1;11
-10057079#2;9
-10057307#0;9
-10057307#1;2
-10057465;7
-1005801863;4
-1006229001;12
-1007097304;9
-1007102226;0
-1007403139;2
-1007619576;349
-1007619578;71
-100795277;404
-100795401#0;100
-100795404#0;7
-100795405#0;148
-100795405#1;154
-100795406;29
-100795409;456
-100795411;455
-100795414;84
-100795415#1;893
-100795418#1;1112
-1008711254#0;326
-1008715851;2
-1009132896#1;372
-1009181400;0
-1009185248;9
-1009564502;45
-1011250614;707
-1011265536;32
-101220594;24
-1013040395;53
-101389264;2
-10144518;25
-101517657;6
-10152632;90
-10152685#1;115
-10152700#2;435
-10153016#2;435
-10153216;1511
-10153257;1207
-101532637;1681
-10153319;1537
-101539128#0;0
-101539128#1;0
-101539128#2;0
-101539255#0;18
-101539255#1;7
-101539255#2;5
-101539255#3;3
-101546056;6
-101546061#0;1
-101562676#0;9
-101562676#1;0
-101617955#0;1
-101617955#1;0
-101617996#0;2
-101617996#1;10
-101713555;17
-102078543#0;141
-102078543#1;137
-102080314;20
-102192562;32
-10228571#0;362
-10228571#1;389
-10228571#2;427
-102349588;406
-102822907#1;1534
-102822908;1207
-103028098;7
-103057136#0;7
-103057136#1;0
-10310042;2368
-103182097#2;1535
-103238003;80
-103241921;908
-103381356#0;28
-103381356#1;39
-103381356#2;40
-103381357;73
-103381360#0;31
-103381360#1;8
-103381360#2;12
-103381360#3;66
-103381360#4;50
-103381360#5;44
-103381361;651
-103381362;772
-103381364;28
-103381366;23
-103422447;2169
-103422449;1621
-103423631;4
-103423925;9
-103438310;43
