Iteration	bicycle_travel	bicycle_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	139663	0	217522	0	2326	0	111642	26178	70722	0	0	0	265402	0
1	143432	0	213765	0	2317	0	110287	32282	71356	0	0	0	292228	0
2	145526	0	212530	0	2318	0	109470	35388	71810	0	0	0	306545	0
3	147106	0	212147	0	2330	0	108892	36837	72220	0	0	0	313077	0
4	147701	0	212010	0	2341	0	108563	37565	72556	0	0	0	318093	0
5	148378	0	212080	0	2348	0	108227	38010	72824	0	0	0	321202	0
6	148892	0	212126	0	2355	0	108075	38530	73059	0	0	0	324623	0
7	149316	0	212060	0	2358	0	107859	38931	73277	0	0	0	327272	0
8	150427	0	212211	0	2371	0	107437	38809	73473	0	0	0	329104	0
9	150712	0	212260	0	2375	0	107372	38722	73656	0	0	0	330752	0
10	151648	0	212024	0	2382	0	107186	38860	73802	0	0	0	333095	0
11	152515	0	211983	0	2381	0	107135	39391	73940	0	0	0	332418	0
12	152769	0	211924	0	2388	0	106912	39647	74080	0	0	0	334507	0
13	153300	0	212057	0	2390	0	106711	39282	74155	0	0	0	335348	0
14	153951	0	211849	0	2394	0	106627	39373	74216	0	0	0	336681	0
15	153916	0	211821	0	2395	0	106572	39772	74314	0	0	0	336544	0
16	154841	0	211828	0	2405	0	106515	40002	74357	0	0	0	336967	0
17	154454	0	212113	0	2408	0	106292	39791	74412	0	0	0	337971	0
18	155016	0	211985	0	2408	0	106155	39351	74478	0	0	0	337541	0
19	155274	0	211741	0	2408	0	106143	39939	74546	0	0	0	338324	0
20	155468	0	212019	0	2420	0	106021	40204	74560	0	0	0	337772	0
21	155603	0	212172	0	2429	0	106116	39503	74562	0	0	0	337355	0
22	155753	0	212439	0	2433	0	105714	39248	74616	0	0	0	338190	0
23	156624	0	212433	0	2427	0	105739	39163	74628	0	0	0	337316	0
24	156879	0	212424	0	2425	0	105629	39119	74654	0	0	0	337162	0
25	156703	0	212347	0	2433	0	105778	38894	74676	0	0	0	336641	0
26	157313	0	212865	0	2435	0	105582	38727	74689	0	0	0	334834	0
27	157240	0	213166	0	2437	0	105419	38186	74701	0	0	0	333448	0
28	157301	0	213586	0	2443	0	105160	38237	74725	0	0	0	332182	0
29	156941	0	213924	0	2441	0	105166	37897	74733	0	0	0	331820	0
30	156680	0	213955	0	2445	0	105227	37725	74745	0	0	0	331862	0
31	156584	0	214215	0	2445	0	105197	38057	74764	0	0	0	330568	0
32	156265	0	214428	0	2457	0	105188	37721	74741	0	0	0	329992	0
33	156494	0	214460	0	2452	0	105073	37916	74746	0	0	0	328594	0
34	157151	0	214331	0	2448	0	104995	37390	74745	0	0	0	328112	0
35	157621	0	214814	0	2461	0	104869	37094	74720	0	0	0	326124	0
36	157257	0	214746	0	2463	0	104935	37629	74735	0	0	0	326289	0
37	157037	0	215039	0	2461	0	104964	37308	74697	0	0	0	325378	0
38	156489	0	215328	0	2461	0	105040	37545	74702	0	0	0	324256	0
39	156641	0	215786	0	2465	0	104732	37348	74732	0	0	0	323168	0
40	156622	0	216002	0	2456	0	104838	36935	74746	0	0	0	320813	0
41	157556	0	215860	0	2458	0	104788	36345	74739	0	0	0	318471	0
42	157438	0	215971	0	2455	0	104884	36531	74748	0	0	0	317997	0
43	156764	0	216349	0	2451	0	104864	36434	74738	0	0	0	317105	0
44	157138	0	216605	0	2455	0	104750	36512	74721	0	0	0	315039	0
45	157453	0	215856	0	2451	0	104977	35891	74721	0	0	0	315650	0
46	158097	0	216260	0	2447	0	104637	36195	74703	0	0	0	313612	0
47	156697	0	216792	0	2470	0	104970	36351	74696	0	0	0	313947	0
48	157298	0	216496	0	2464	0	104794	36023	74726	0	0	0	313337	0
49	156358	0	216866	0	2474	0	105303	36148	74692	0	0	0	311727	0
50	156954	0	216401	0	2465	0	105033	35797	74683	0	0	0	311998	0
51	157280	0	216308	0	2462	0	104982	35399	74653	0	0	0	310948	0
52	156785	0	217117	0	2471	0	104855	35550	74655	0	0	0	309877	0
53	156079	0	217065	0	2462	0	104934	35591	74672	0	0	0	309541	0
54	156559	0	216811	0	2463	0	104958	35483	74624	0	0	0	309287	0
55	155708	0	217380	0	2465	0	104944	35257	74644	0	0	0	307539	0
56	156001	0	217501	0	2473	0	104954	34910	74637	0	0	0	306719	0
57	155808	0	217964	0	2471	0	104920	34909	74659	0	0	0	306956	0
58	155536	0	217906	0	2470	0	104880	34309	74634	0	0	0	305508	0
59	155212	0	218223	0	2473	0	104802	34824	74628	0	0	0	305117	0
60	155482	0	218079	0	2486	0	104978	34904	74618	0	0	0	305599	0
61	155492	0	218295	0	2477	0	104870	33926	74605	0	0	0	304190	0
62	155220	0	218075	0	2478	0	105061	34448	74580	0	0	0	304238	0
63	155472	0	217725	0	2474	0	105182	34384	74571	0	0	0	304617	0
64	154979	0	218153	0	2471	0	105237	34258	74562	0	0	0	302511	0
65	155250	0	218035	0	2470	0	105095	34116	74552	0	0	0	302186	0
66	155316	0	218212	0	2472	0	105034	34115	74519	0	0	0	301007	0
67	154767	0	218455	0	2478	0	105164	34261	74549	0	0	0	301388	0
68	154755	0	218264	0	2472	0	105195	34021	74525	0	0	0	300367	0
69	154795	0	218403	0	2476	0	105210	33842	74511	0	0	0	300759	0
70	154126	0	218696	0	2472	0	105281	34067	74504	0	0	0	300274	0
71	154559	0	218645	0	2474	0	105190	33918	74503	0	0	0	299502	0
72	154312	0	218779	0	2474	0	105102	33686	74484	0	0	0	299955	0
73	154312	0	219025	0	2477	0	104985	33687	74479	0	0	0	297484	0
74	153052	0	219068	0	2474	0	105068	33368	74458	0	0	0	299437	0
75	154043	0	219268	0	2474	0	104994	33653	74421	0	0	0	297232	0
76	154281	0	218902	0	2472	0	105089	33622	74417	0	0	0	297534	0
77	153896	0	218966	0	2470	0	105231	33624	74392	0	0	0	296549	0
78	153585	0	219158	0	2478	0	104957	32812	74411	0	0	0	297654	0
79	153492	0	218883	0	2461	0	105048	33304	74393	0	0	0	297303	0
80	153627	0	219113	0	2477	0	105118	33405	74385	0	0	0	297514	0
81	153348	0	218895	0	2467	0	105134	33368	74408	0	0	0	296903	0
82	153115	0	218918	0	2468	0	105402	33506	74340	0	0	0	297037	0
83	153195	0	219094	0	2465	0	105327	33505	74359	0	0	0	296119	0
84	152954	0	218944	0	2466	0	105471	33272	74357	0	0	0	296330	0
85	152537	0	218955	0	2481	0	105455	33300	74324	0	0	0	296303	0
86	152629	0	219355	0	2480	0	105364	32961	74313	0	0	0	295984	0
87	152696	0	219126	0	2472	0	105531	33122	74319	0	0	0	295563	0
88	152171	0	218814	0	2454	0	105760	33369	74279	0	0	0	294905	0
89	152389	0	218880	0	2458	0	105660	33475	74283	0	0	0	294923	0
90	152015	0	219372	0	2457	0	105545	33155	74275	0	0	0	294441	0
91	152039	0	219356	0	2449	0	105520	32813	74310	0	0	0	293600	0
92	152195	0	218847	0	2449	0	105814	32894	74278	0	0	0	293547	0
93	152042	0	219217	0	2450	0	105609	32566	74249	0	0	0	292869	0
94	151565	0	219289	0	2439	0	105632	33020	74263	0	0	0	293574	0
95	151480	0	219275	0	2449	0	105745	32872	74217	0	0	0	292353	0
96	151304	0	218944	0	2446	0	105700	33184	74198	0	0	0	294592	0
97	151239	0	219503	0	2452	0	105659	32787	74189	0	0	0	293297	0
98	151049	0	219247	0	2438	0	105710	32886	74203	0	0	0	293430	0
99	151412	0	218823	0	2441	0	105839	32841	74205	0	0	0	293717	0
100	150886	0	219200	0	2444	0	105888	32416	74175	0	0	0	293247	0
101	150974	0	219181	0	2455	0	105851	32798	74164	0	0	0	293696	0
102	151068	0	219082	0	2450	0	105814	32331	74166	0	0	0	293404	0
103	150881	0	219041	0	2435	0	105974	32803	74119	0	0	0	292540	0
104	150760	0	218749	0	2443	0	106152	32677	74105	0	0	0	292706	0
105	149879	0	219167	0	2447	0	106087	32755	74100	0	0	0	293362	0
106	150635	0	218910	0	2433	0	105869	32227	74137	0	0	0	293736	0
107	150508	0	218521	0	2431	0	106243	32293	74082	0	0	0	293237	0
108	150513	0	218875	0	2432	0	106178	32843	74097	0	0	0	293185	0
109	150367	0	219026	0	2440	0	106138	32558	74093	0	0	0	293185	0
110	149563	0	219382	0	2433	0	106214	32635	74075	0	0	0	292881	0
111	149711	0	218945	0	2424	0	106229	32367	74083	0	0	0	292804	0
112	150264	0	218626	0	2425	0	106212	32245	74060	0	0	0	293294	0
113	149660	0	219042	0	2428	0	106325	32555	74027	0	0	0	291927	0
114	149842	0	218531	0	2421	0	106314	32673	74033	0	0	0	293939	0
115	149459	0	218578	0	2422	0	106578	33050	74014	0	0	0	292465	0
116	149502	0	218445	0	2420	0	106545	32358	73998	0	0	0	292165	0
117	148936	0	218725	0	2422	0	106629	32554	74002	0	0	0	292241	0
118	148807	0	218672	0	2430	0	106580	32218	73993	0	0	0	292552	0
119	148900	0	218806	0	2423	0	106551	32431	73947	0	0	0	292172	0
120	149338	0	218253	0	2421	0	106749	32537	73963	0	0	0	292408	0
121	149143	0	218590	0	2425	0	106614	32455	73963	0	0	0	291435	0
122	148974	0	218527	0	2424	0	106599	31964	73982	0	0	0	292403	0
123	149376	0	218456	0	2419	0	106678	32172	73943	0	0	0	291559	0
124	148786	0	218866	0	2420	0	106606	32157	73930	0	0	0	291218	0
