Iteration	bicycle	car	freight	pt	ride	walk
0	1578687	8378992	68357	3449241	2832419	1009369
1	1621274	8275173	68647	3406856	2842177	1111303
2	1644935	8231930	68935	3382828	2850001	1165706
3	1662802	8212791	69160	3363618	2856839	1190523
4	1669520	8204968	69384	3353201	2862377	1209588
5	1677177	8208919	69553	3341735	2866643	1221402
6	1682983	8202891	69808	3337867	2869993	1234402
7	1687777	8201902	70011	3329836	2873620	1244465
8	1700333	8195336	70100	3317192	2876205	1251430
9	1703548	8199490	70303	3313409	2878362	1257690
10	1714126	8186255	70404	3308113	2880300	1266594
11	1723930	8182554	70507	3306943	2882996	1264019
12	1726798	8183870	70666	3300206	2885007	1271958
13	1732797	8187023	70683	3294382	2886519	1275151
14	1740155	8175358	70794	3291885	2887151	1280216
15	1739763	8179837	70740	3289640	2889047	1279694
16	1750217	8170596	70792	3289726	2889550	1281301
17	1745837	8183430	70890	3282495	2890579	1285117
18	1752197	8182587	70931	3277919	2891396	1283478
19	1755110	8175079	71029	3279366	2892490	1286459
20	1757296	8183299	71085	3274216	2892639	1284360
21	1758831	8180489	71138	3276567	2892521	1282774
22	1760527	8195913	71193	3261778	2893490	1285946
23	1770370	8187830	71366	3263261	2894098	1282629
24	1773242	8186217	71281	3260872	2894031	1282041
25	1771263	8185405	71293	3265645	2893628	1280058
26	1778150	8194827	71305	3260136	2893431	1273199
27	1777326	8211752	71471	3253759	2894043	1267929
28	1778014	8225227	71551	3244216	2894345	1263120
29	1773950	8231242	71649	3245877	2894252	1261747
30	1771003	8232967	71704	3250340	2894658	1261901
31	1769915	8244064	71858	3246287	2893886	1256989
32	1766310	8249625	71933	3247215	2893545	1254800
33	1768895	8250102	71966	3244108	2893913	1249490
34	1776326	8252785	71959	3241218	2894027	1247657
35	1781640	8254993	71965	3237962	2892970	1240102
36	1777521	8256737	71924	3241493	2893337	1240730
37	1775036	8264366	71953	3243617	2893123	1237269
38	1768843	8274099	71974	3246664	2892576	1233004
39	1770565	8285658	71986	3232437	2892639	1228867
40	1770353	8294154	71975	3238646	2891962	1219925
41	1780908	8298113	71944	3236848	2891939	1211022
42	1779570	8300319	71933	3240180	2892373	1209218
43	1771952	8316646	71901	3237618	2891791	1205831
44	1776175	8323648	71933	3232474	2889950	1197979
