Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:42:09	14:42:09	14:48:04			14:48:04	14:48:04	14:49:58	14:50:00	14:50:00	14:50:02	14:50:02	15:03:40	15:03:40	15:03:42	15:03:42	15:03:43	15:03:43			15:05:20	15:05:20		00:05:55		00:01:53	00:01:55	00:00:02	00:13:37	00:00:02	00:00:00		00:01:37	00:23:11
1	15:05:20	15:05:20	15:05:22	15:05:22	15:07:01	15:07:01	15:07:01	15:08:45	15:08:47	15:08:47	15:08:49	15:08:49	15:17:24	15:17:24	15:17:27	15:17:27	15:17:27	15:17:27			15:17:36	15:17:36		00:00:01	00:01:38	00:01:44	00:01:46	00:00:02	00:08:34	00:00:02	00:00:00		00:00:08	00:12:15
2	15:17:36	15:17:36	15:17:37	15:17:37	15:19:10	15:19:10			15:19:11	15:19:11	15:19:14	15:19:14	15:27:45	15:27:45	15:27:47	15:27:47	15:27:47	15:27:47			15:27:55	15:27:55		00:00:01	00:01:32		00:00:01	00:00:02	00:08:30	00:00:02	00:00:00		00:00:07	00:10:19
3	15:27:55	15:27:55	15:27:56	15:27:56	15:29:30	15:29:30			15:29:32	15:29:32	15:29:35	15:29:35	15:37:47	15:37:47	15:37:49	15:37:49	15:37:50	15:37:50			15:37:57	15:37:57		00:00:00	00:01:33		00:00:01	00:00:03	00:08:12	00:00:02	00:00:00		00:00:07	00:10:02
4	15:37:57	15:37:57	15:37:58	15:37:58	15:39:32	15:39:32			15:39:34	15:39:34	15:39:37	15:39:37	15:47:53	15:47:53	15:47:55	15:47:55	15:47:55	15:47:55			15:48:03	15:48:03		00:00:00	00:01:33		00:00:01	00:00:03	00:08:15	00:00:02	00:00:00		00:00:07	00:10:06
5	15:48:03	15:48:03	15:48:04	15:48:04	15:49:37	15:49:37			15:49:38	15:49:38	15:49:42	15:49:42	15:57:53	15:57:53	15:57:55	15:57:55	15:57:57	15:57:57			15:58:04	15:58:04		00:00:00	00:01:32		00:00:01	00:00:03	00:08:11	00:00:02	00:00:01		00:00:07	00:10:00
6	15:58:04	15:58:04	15:58:05	15:58:05	15:59:42	15:59:42			15:59:44	15:59:44	15:59:47	15:59:47	16:07:53	16:07:53	16:07:55	16:07:55	16:07:56	16:07:56			16:08:04	16:08:04		00:00:00	00:01:36		00:00:02	00:00:03	00:08:05	00:00:02	00:00:00		00:00:07	00:10:00
7	16:08:04	16:08:04	16:08:06	16:08:06	16:09:40	16:09:40			16:09:43	16:09:43	16:09:46	16:09:46	16:18:11	16:18:11	16:18:13	16:18:13	16:18:14	16:18:14			16:18:22	16:18:22		00:00:01	00:01:34		00:00:02	00:00:03	00:08:24	00:00:02	00:00:00		00:00:08	00:10:17
8	16:18:22	16:18:22	16:18:23	16:18:23	16:19:56	16:19:56			16:19:58	16:19:58	16:20:03	16:20:03	16:28:24	16:28:24	16:28:26	16:28:26	16:28:27	16:28:27			16:28:35	16:28:35		00:00:00	00:01:33		00:00:01	00:00:04	00:08:21	00:00:01	00:00:00		00:00:08	00:10:13
9	16:28:35	16:28:35	16:28:36	16:28:36	16:30:11	16:30:11			16:30:12	16:30:12	16:30:17	16:30:17	16:38:43	16:38:43	16:38:45	16:38:45	16:38:46	16:38:46			16:38:54	16:38:54		00:00:00	00:01:34		00:00:01	00:00:04	00:08:25	00:00:01	00:00:00		00:00:08	00:10:19
10	16:38:55	16:38:55	16:38:56	16:38:56	16:40:29	16:40:29			16:40:31	16:40:31	16:40:37	16:40:37	16:48:59	16:48:59	16:49:01	16:49:01	16:49:02	16:49:02	16:49:02	16:49:02	16:50:38	16:50:38		00:00:00	00:01:33		00:00:01	00:00:05	00:08:21	00:00:02	00:00:00	00:00:00	00:01:36	00:11:43
11	16:50:38	16:50:38	16:50:39	16:50:39	16:52:12	16:52:12			16:52:14	16:52:14	16:52:18	16:52:18	17:00:58	17:00:58	17:01:00	17:01:00	17:01:01	17:01:01			17:01:08	17:01:08		00:00:01	00:01:32		00:00:02	00:00:04	00:08:39	00:00:02	00:00:00		00:00:07	00:10:29
12	17:01:08	17:01:08	17:01:09	17:01:09	17:02:41	17:02:41			17:02:43	17:02:43	17:02:49	17:02:49	17:11:14	17:11:14	17:11:16	17:11:16	17:11:17	17:11:17			17:11:24	17:11:24		00:00:01	00:01:32		00:00:01	00:00:05	00:08:24	00:00:02	00:00:00		00:00:07	00:10:16
13	17:11:24	17:11:24	17:11:26	17:11:26	17:12:58	17:12:58			17:13:00	17:13:00	17:13:06	17:13:06	17:21:25	17:21:25	17:21:27	17:21:27	17:21:28	17:21:28			17:21:35	17:21:35		00:00:01	00:01:31		00:00:01	00:00:05	00:08:19	00:00:02	00:00:00		00:00:07	00:10:10
14	17:21:35	17:21:35	17:21:36	17:21:36	17:23:07	17:23:07			17:23:09	17:23:09	17:23:15	17:23:15	17:31:36	17:31:36	17:31:38	17:31:38	17:31:38	17:31:38			17:31:45	17:31:45		00:00:01	00:01:30		00:00:02	00:00:05	00:08:21	00:00:01	00:00:00		00:00:07	00:10:10
15	17:31:46	17:31:46	17:31:47	17:31:47	17:33:21	17:33:21			17:33:23	17:33:23	17:33:30	17:33:30	17:41:47	17:41:47	17:41:50	17:41:50	17:41:50	17:41:50			17:41:58	17:41:58		00:00:01	00:01:34		00:00:02	00:00:06	00:08:17	00:00:02	00:00:00		00:00:07	00:10:12
16	17:41:58	17:41:58	17:41:59	17:41:59	17:43:30	17:43:30			17:43:32	17:43:32	17:43:39	17:43:39	17:51:58	17:51:58	17:52:00	17:52:00	17:52:01	17:52:01			17:52:08	17:52:08		00:00:00	00:01:30		00:00:02	00:00:07	00:08:18	00:00:02	00:00:00		00:00:07	00:10:10
17	17:52:08	17:52:08	17:52:09	17:52:09	17:53:43	17:53:43			17:53:45	17:53:45	17:53:52	17:53:52	18:02:11	18:02:11	18:02:13	18:02:13	18:02:14	18:02:14			18:02:22	18:02:22		00:00:00	00:01:33		00:00:02	00:00:07	00:08:18	00:00:02	00:00:00		00:00:08	00:10:13
18	18:02:23	18:02:23	18:02:24	18:02:24	18:04:00	18:04:00			18:04:02	18:04:02	18:04:09	18:04:09	18:12:26	18:12:26	18:12:29	18:12:29	18:12:29	18:12:29			18:12:38	18:12:38		00:00:01	00:01:35		00:00:02	00:00:06	00:08:17	00:00:02	00:00:00		00:00:08	00:10:14
19	18:12:38	18:12:38	18:12:39	18:12:39	18:14:12	18:14:12			18:14:14	18:14:14	18:14:22	18:14:22	18:22:56	18:22:56	18:22:58	18:22:58	18:22:59	18:22:59			18:23:07	18:23:07		00:00:01	00:01:33		00:00:02	00:00:07	00:08:33	00:00:02	00:00:00		00:00:08	00:10:29
20	18:23:07	18:23:07	18:23:08	18:23:08	18:24:44	18:24:44			18:24:46	18:24:46	18:24:54	18:24:54	18:33:15	18:33:15	18:33:18	18:33:18	18:33:19	18:33:19	18:33:19	18:33:19	18:35:03	18:35:03		00:00:01	00:01:35		00:00:02	00:00:07	00:08:21	00:00:02	00:00:00	00:00:00	00:01:44	00:11:55
21	18:35:03	18:35:03	18:35:04	18:35:04	18:36:41	18:36:41			18:36:43	18:36:43	18:36:51	18:36:51	18:45:14	18:45:14	18:45:16	18:45:16	18:45:17	18:45:17			18:45:24	18:45:24		00:00:01	00:01:36		00:00:01	00:00:08	00:08:22	00:00:02	00:00:00		00:00:07	00:10:20
