destination,household_id
1,1119
2,2010
3,412
4,1207
5,1841
6,1784
7,6110
8,2584
9,5525
10,2009
11,1683
12,1266
13,1172
14,1373
15,685
16,3123
17,855
18,493
19,649
20,467
21,761
22,1153
23,510
24,828
25,1301
26,792
27,297
28,236
29,1011
30,687
31,544
32,680
33,454
34,315
35,304
36,663
37,448
38,368
39,240
40,636
41,903
42,530
43,445
44,359
45,491
46,469
47,576
48,284
49,313
50,452
51,227
52,196
53,177
54,436
55,247
56,42
57,173
58,434
59,591
60,236
61,335
62,595
63,334
64,511
65,419
66,345
67,257
68,209
69,1248
70,741
71,499
72,249
73,407
74,593
75,520
76,646
77,370
78,370
79,678
80,256
81,688
82,440
83,216
84,352
85,375
86,504
87,504
88,489
89,539
90,549
91,1178
92,1259
93,458
94,213
95,319
96,201
97,336
98,396
99,348
100,591
101,708
102,376
103,512
104,438
105,497
106,1068
107,1379
108,568
109,670
110,793
111,422
112,224
113,508
114,377
115,1688
116,705
117,346
118,335
119,222
120,337
121,258
122,460
123,524
124,275
125,203
126,265
127,325
128,346
129,323
130,461
131,511
132,512
133,1586
134,704
135,444
136,322
137,429
138,705
139,439
140,291
141,196
142,1061
143,186
144,410
145,524
146,91
147,437
148,366
149,1180
150,434
151,128
152,436
153,376
154,310
155,288
156,182
157,195
158,108
159,286
160,331
161,333
162,365
163,284
164,538
165,933
166,654
167,438
168,706
169,695
170,706
171,275
172,473
173,238
174,482
175,351
176,421
177,683
178,520
179,450
180,269
181,311
182,416
183,610
184,649
185,915
186,627
187,416
188,1565
189,429
190,161
191,387
192,662
193,471
194,810
195,357
196,400
197,306
198,434
199,753
200,1136
201,633
202,576
203,506
204,633
205,376
206,195
207,303
208,543
209,484
210,241
211,614
212,1919
213,477
214,431
215,429
216,677
217,362
218,389
219,335
220,387
221,304
222,365
223,244
224,202
225,363
226,460
227,294
229,615
230,648
231,375
232,321
233,480
234,1147
235,266
236,440
237,701
238,268
239,199
240,723
241,211
242,122
243,206
244,428
245,280
246,902
247,321
248,913
249,1044
250,330
251,1173
252,326
253,219
254,425
255,399
256,474
257,1022
258,566
259,434
260,663
261,315
262,290
263,183
264,409
265,693
266,1458
267,296
268,229
269,180
270,246
271,221
272,217
273,196
274,441
275,589
276,206
277,364
278,1003
279,590
280,577
281,573
282,547
283,399
284,1612
285,264
286,898
287,304
288,533
289,498
290,220
291,639
292,228
293,441
294,385
295,277
296,570
297,208
298,344
299,205
300,226
301,499
302,237
303,447
304,357
305,130
306,168
307,387
308,267
309,956
310,1052
311,1439
312,451
313,343
314,852
315,1534
316,206
317,594
318,393
319,229
320,346
321,298
322,477
323,688
324,399
325,505
326,503
327,485
328,287
329,412
330,341
331,946
332,451
333,850
334,423
335,745
336,374
337,169
