runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles
kelheim;0;2;0;0;NaN;0;0;0;0;NaN;NaN;0
kelheim;1;2;53297.08;23048.8;0.43;32397.09;26648.54;11524.4;16198.55;0.61;1.74;0
kelheim;2;2;87130.59;40946.47;0.47;46601.8;43565.29;20473.23;23300.9;0.53;1.89;0
kelheim;3;2;97225.65;27540.55;0.28;88134.24;48612.82;13770.27;44067.12;0.91;1.42;0
kelheim;4;2;148131.12;45160.56;0.3;146656.15;74065.56;22580.28;73328.08;0.99;1.41;0
kelheim;5;2;148717.47;40065.5;0.27;142265.98;74358.73;20032.75;71132.99;0.96;1.34;0
kelheim;6;2;144369.93;46741.35;0.32;129538.62;72184.96;23370.67;64769.31;0.9;1.44;0
kelheim;7;2;144427.1;51416.45;0.36;113281.09;72213.55;25708.22;56640.54;0.78;1.57;0
kelheim;8;2;189427.2;64944.26;0.34;150958.47;94713.6;32472.13;75479.23;0.8;1.58;0
kelheim;9;2;190567.96;53776.27;0.28;183497.82;95283.98;26888.13;91748.91;0.96;1.39;0
kelheim;10;2;182205.88;60240.67;0.33;151123.33;91102.94;30120.33;75561.66;0.83;1.48;0
kelheim;11;2;204991.2;62975.18;0.31;191653.03;102495.6;31487.59;95826.52;0.93;1.38;0
kelheim;12;2;195051.6;67125.95;0.34;162921.17;97525.8;33562.97;81460.59;0.84;1.49;0
kelheim;13;2;215047.24;67094.49;0.31;194525.19;107523.62;33547.24;97262.59;0.9;1.56;0
kelheim;14;2;206064.97;65352.71;0.32;183161.17;103032.49;32676.36;91580.58;0.89;1.58;0
kelheim;15;2;186530.68;66721.92;0.36;145211.94;93265.34;33360.96;72605.97;0.78;1.64;0
kelheim;16;2;175531.45;55250.8;0.31;139086.78;87765.72;27625.4;69543.39;0.79;1.44;0
kelheim;17;2;189437.27;64547.55;0.34;157901.05;94718.63;32273.77;78950.53;0.83;1.59;0
kelheim;18;2;206063.7;68274.66;0.33;176494.18;103031.85;34137.33;88247.09;0.86;1.52;0
kelheim;19;2;201504.2;68048.17;0.34;165324.06;100752.1;34024.09;82662.03;0.82;1.54;0
kelheim;20;2;205232.24;62015.87;0.3;191094.45;102616.12;31007.93;95547.22;0.93;1.43;0
kelheim;21;2;190468.15;62290.25;0.33;173282.67;95234.07;31145.12;86641.33;0.91;1.36;0
kelheim;22;2;180591.52;54191.29;0.3;166383.76;90295.76;27095.65;83191.88;0.92;1.51;0
kelheim;23;2;201697.08;60067.94;0.3;187467.17;100848.54;30033.97;93733.59;0.93;1.53;0
kelheim;24;2;194073.18;50813.93;0.26;185557.72;97036.59;25406.96;92778.86;0.96;1.41;0
kelheim;25;2;184902.5;55126.63;0.3;152624.45;92451.25;27563.31;76312.23;0.83;1.56;0
kelheim;26;2;168102.26;62992.05;0.37;141110.46;84051.13;31496.02;70555.23;0.84;1.51;0
kelheim;27;2;178066.39;64721.43;0.36;136658.13;89033.19;32360.71;68329.06;0.77;1.56;0
kelheim;28;2;156156.16;65376.78;0.42;105466.05;78078.08;32688.39;52733.02;0.68;1.69;0
kelheim;29;2;179975.6;60844.19;0.34;144828.48;89987.8;30422.09;72414.24;0.8;1.64;0
kelheim;30;2;169005.37;60571.67;0.36;118613.27;84502.68;30285.83;59306.63;0.7;1.64;0
kelheim;31;2;155742.08;52410.06;0.34;119199.87;77871.04;26205.03;59599.93;0.77;1.55;0
kelheim;32;2;143878.15;44954.1;0.31;113443.64;71939.07;22477.05;56721.82;0.79;1.56;0
