runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles
kelheim;0;2;0;0;NaN;0;0;0;0;NaN;NaN;0
kelheim;1;2;232105.52;86258.86;0.37;158178.53;116052.76;43129.43;79089.27;0.68;1.66;0
kelheim;2;2;432088.35;144072.83;0.33;373236.97;216044.18;72036.41;186618.49;0.86;1.6;0
kelheim;3;2;549447.42;175245.08;0.32;482975.71;274723.71;87622.54;241487.86;0.88;1.56;0
kelheim;4;2;684769.75;194555.8;0.28;693054.06;342384.88;97277.9;346527.03;1.01;1.49;0
kelheim;5;2;735229.02;204022.44;0.28;795327.13;367614.51;102011.22;397663.57;1.08;1.46;0
kelheim;6;2;751346.41;209885.66;0.28;769562.05;375673.21;104942.83;384781.03;1.02;1.48;0
kelheim;7;2;770913.53;211748.37;0.27;809727.13;385456.77;105874.19;404863.57;1.05;1.46;0
kelheim;8;2;806682.6;231324.74;0.29;794052.7;403341.3;115662.37;397026.35;0.98;1.47;0
kelheim;9;2;762461.41;211998.79;0.28;756370.15;381230.71;105999.4;378185.08;0.99;1.47;0
kelheim;10;2;777833.67;205696.28;0.26;814803.94;388916.84;102848.14;407401.97;1.05;1.5;0
kelheim;11;2;787681.51;201263.5;0.26;825232.32;393840.76;100631.75;412616.16;1.05;1.44;0
kelheim;12;2;806398.81;204192.35;0.25;817238.28;403199.41;102096.18;408619.14;1.01;1.41;0
kelheim;13;2;880867.28;245925.02;0.28;917258.41;440433.64;122962.51;458629.21;1.04;1.47;0
kelheim;14;2;819221;200587.48;0.24;872161.52;409610.5;100293.74;436080.76;1.06;1.42;0
kelheim;15;2;866546.63;209658.27;0.24;934596.08;433273.32;104829.14;467298.04;1.08;1.37;0
kelheim;16;2;813332.77;204195.79;0.25;868250.49;406666.39;102097.9;434125.25;1.07;1.4;0
kelheim;17;2;798795.85;192238.42;0.24;938690.67;399397.93;96119.21;469345.34;1.18;1.3;0
kelheim;18;2;803473.1;183477.39;0.23;939626.66;401736.55;91738.7;469813.33;1.17;1.32;0
kelheim;19;2;861142.85;204587.82;0.24;969307.49;430571.43;102293.91;484653.75;1.13;1.35;0
kelheim;20;2;861967.57;220053.31;0.26;903952.26;430983.79;110026.66;451976.13;1.05;1.37;0
